ID,Artigo,Arquivo,qualis,sjr_quartile
P20,P20-A1-LLM_Agentic_Workflow_for_Automated_Vulnerability_Detection_and_Remediation_in_Infrastructure-as-Code.pdf,P20-A1-LLM_Agentic_Workflow_for_Automated_Vulnerability_Detection_and_Remediation_in_Infrastructure-as-Code.pdf,A1,Q1
P21,P21-A1-Small_Language_Model_Agent_for_the_Operations_of_Continuously_Updating_ICT_Systems.pdf,P21-A1-Small_Language_Model_Agent_for_the_Operations_of_Continuously_Updating_ICT_Systems.pdf,A1,Q1
P22,P22-A1-ARM_Autonomous_Remediation_and_Management_With_LLM_Agents_for_Intent-Driven_Control.pdf,P22-A1-ARM_Autonomous_Remediation_and_Management_With_LLM_Agents_for_Intent-Driven_Control.pdf,A1,Q1
P23,P23-A1-TAMOFine-Grained_Root_Cause_Analysis_via_Tool-Assisted_LLM_Agent_With_Multi-Modality_Observation_Data_in_Cloud-Native_Systems.pdf,P23-A1-TAMOFine-Grained_Root_Cause_Analysis_via_Tool-Assisted_LLM_Agent_With_Multi-Modality_Observation_Data_in_Cloud-Native_Systems.pdf,A1,Q1
P24,P24-A1-1-s2.0-S0957417425020238-main.pdf,P24-A1-1-s2.0-S0957417425020238-main.pdf,A1,Q1
P25,P25-A1-s41598-026-45937-9.pdf,P25-A1-s41598-026-45937-9.pdf,A1,Q1
P26,P26-A1-Surveying_Root_Cause_Analysis_Techniques_A_Comprehensive_Review_of_Aspects_for_Multi-Service_Applications.pdf,P26-A1-Surveying_Root_Cause_Analysis_Techniques_A_Comprehensive_Review_of_Aspects_for_Multi-Service_Applications.pdf,A1,Q1
P27,P27-A1-s40747-025-02096-0.pdf,P27-A1-s40747-025-02096-0.pdf,A1,Q1
P28,P28-A1-A_Multi-Agent_System_for_Cybersecurity_Threat_Detection_and_Correlation_Using_Large_Language_Models.pdf,P28-A1-A_Multi-Agent_System_for_Cybersecurity_Threat_Detection_and_Correlation_Using_Large_Language_Models.pdf,A1,Q1
P29,P29-A2-1-s2.0-S2667305325001346-main.pdf,P29-A2-1-s2.0-S2667305325001346-main.pdf,A2,Q1
P30,P30-A2-BDCC-10-00060-v2.pdf,P30-A2-BDCC-10-00060-v2.pdf,A2,Q1
P31,P31-A2-electronics-14-03008.pdf,P31-A2-electronics-14-03008.pdf,A2,Q2
P32,P32-A2-electronics-15-00243-v2.pdf,P32-A2-electronics-15-00243-v2.pdf,A2,Q2
P33,P33-A2-64b5f019-bc3d-42da-870b-8f7434e7057c_f1000res169337.pdf,P33-A2-64b5f019-bc3d-42da-870b-8f7434e7057c_f1000res169337.pdf,A2,Q1
P34,P34-A2-s10207-025-01144-7.pdf,P34-A2-s10207-025-01144-7.pdf,A2,Q2
P35,P35-A2-TSP_CMC_77908.pdf,P35-A2-TSP_CMC_77908.pdf,A2,Q2
P37,P37-A2-algorithms-19-00062-v2.pdf,P37-A2-algorithms-19-00062-v2.pdf,A2,Q2
P38,P38-A2-electronics-14-04883-v2.pdf,P38-A2-electronics-14-04883-v2.pdf,A2,Q2
P39,P39-A3-Agentic_AI_and_the_Cyber_Arms_Race.pdf,P39-A3-Agentic_AI_and_the_Cyber_Arms_Race.pdf,A3,Q1
P40,P40-A3-Int J Network Mgmt - 2025 - Hong - A Comprehensive Survey on LLM‐Based Network Management and Operations.pdf,P40-A3-Int J Network Mgmt - 2025 - Hong - A Comprehensive Survey on LLM‐Based Network Management and Operations.pdf,A3,Q2
