"Paper ID","Type","Title","Authors","Year","Date","Venue","Volume","Issue","Pages","DOI","Publisher","Keywords","Abstract"
"P01","Journal Article","Trustworthy agentic AI systems: a cross-layer review of architectures, threat models, and governance strategies for real-world deployment","ADABARA, IBRAHIM; Olaniyi Sadiq, Bashir; Nuhu Shuaibu, Aliyu; Ibrahim Danjuma, Yale; Maninti, Venkateswarlu","2025","2025/9//","F1000Research","14","","905-905","10.12688/f1000research.169927.1","F1000 Research Ltd","","Agentic Artificial Intelligence systems, characterized by autonomous reasoning, memory augmentation, and adaptive planning, are rapidly reshaping technological landscapes. Unlike traditional AI or large language models, agentic AI integrates decision-making with persistent execution, enabling complex interactions across dynamic environments. However, this evolution introduces novel security risks, governance challenges, and ethical considerations that current frameworks inadequately address. This survey provides a cross-layer review of agentic AI, encompassing architectural paradigms, threat taxonomies, and governance strategies. It consolidates findings from adjacent domains such as cybersecurity, AI safety, multi-agent coordination, and ethics, offering a holistic understanding of vulnerabilities and mitigation approaches. We integrate insights from recent advances in defense architectures and governance innovations, highlighting the limitations of static policies in addressing dynamically evolving threats. Real-world deployments from industrial automation to military and policy applications reveal both successful integrations and notable failures, underscoring the urgency of resilient oversight mechanisms. Furthermore, we identify critical research gaps in benchmarking, memory integrity, adversarial defense, and normative embedding, emphasizing the need for interdisciplinary collaboration to develop adaptive, accountable, and transparent systems. This review serves as a narrative synthesis rather than a systematic literature review, aiming to bridge technical, governance, and ethical perspectives. By integrating cross-disciplinary findings, it lays the foundation for future research on securing, aligning, and governing agentic AI in real-world contexts. Ultimately, this work calls for cooperative innovation to ensure that agentic AI evolves as a trustworthy, accountable, and beneficial technology."
"P02","Generic","The role of agentic AI in shaping a smart future: A systematic review","Hosseini, Soodeh; Seilani, Hossein","2025","2025/7//","Array","26","","","10.1016/j.array.2025.100399","Elsevier B.V.","Agent-oriented artificial intelligence; Artificial intelligence; Generative AI agents; Machine learning work outsourcing","Artificial intelligence (AI), particularly Agentic AI, is increasingly critical for addressing the demand for speed, efficiency, and customer focus in modern organizations. However, the rapid evolution of Agentic AI, including Generative AI (GenAI) agents, has outpaced a cohesive understanding of its applications, challenges, and strategic implications. This narrative review explores the role of Agentic AI in shaping an intelligent future, focusing on its key attributes—autonomy, reactivity, proactivity, and learning ability—and its potential to transform organizational performance. We identify a research gap in synthesizing the diverse capabilities of Agentic AI (e.g., multimodal processing, hierarchical architectures, and machine learning outsourcing) and providing actionable strategies for adoption. The paper examines how Agentic AI enables autonomous decision-making, automates processes, and enhances efficiency through tools like LangChain, CrewAI, AutoGen, and AutoGPT. It highlights the transition from assisted (“Copilot”) to autonomous (“Autopilot”) models and the importance of hierarchical agent structures for system coordination. Key contributions include a framework for organizations to formulate GenAI strategies, addressing business needs, tool selection, human resource training, and risk management. Findings reveal that Agentic AI significantly improves productivity, reduces costs, and drives innovation, though challenges such as privacy, security, and ethical concerns remain. Future research should focus on industry-specific case studies to deepen understanding, explore the ethical and social impacts (e.g., privacy, data security, labor market effects), and investigate the integration of Agentic AI with emerging technologies like quantum computing. This review provides a foundation for researchers and practitioners to leverage Agentic AI effectively while addressing its limitations and opportunities."
"P03","Generic","A Research Landscape of Agentic AI and Large Language Models: Applications, Challenges and Future Directions","Brohi, Sarfraz; Mastoi, Qurat Ul Ain; Jhanjhi, N. Z.; Pillai, Thulasyammal Ramiah","2025","2025/8//","Algorithms","18","8","","10.3390/a18080499","Multidisciplinary Digital Publishing Institute (MDPI)","Agentic AI; DeepSeek-R1; GPT-4o; future Agentic AI research; large language models (LLMs); multi-agent systems; next-generation AI; technical, legal, and ethical challenges","Agentic AI and Large Language Models (LLMs) are transforming how language is understood and generated while reshaping decision-making, automation, and research practices. LLMs provide underlying reasoning capabilities, and Agentic AI systems use them to perform tasks through interactions with external tools, services, and Application Programming Interfaces (APIs). Based on a structured scoping review and thematic analysis, this study identifies that core challenges of LLMs, relating to security, privacy and trust, misinformation, misuse and bias, energy consumption, transparency and explainability, and value alignment, can propagate into Agentic AI. Beyond these inherited concerns, Agentic AI introduces new challenges, including context management, security, privacy and trust, goal misalignment, opaque decision-making, limited human oversight, multi-agent coordination, ethical and legal accountability, and long-term safety. We analyse the applications of Agentic AI powered by LLMs across six domains: education, healthcare, cybersecurity, autonomous vehicles, e-commerce, and customer service, to reveal their real-world impact. Furthermore, we demonstrate some LLM limitations using DeepSeek-R1 and GPT-4o. To the best of our knowledge, this is the first comprehensive study to integrate the challenges and applications of LLMs and Agentic AI within a single forward-looking research landscape that promotes interdisciplinary research and responsible advancement of this emerging field."
"P04","Journal Article","LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","He, Junda; Treude, Christoph; Lo, David","2025","2025/5//","ACM Transactions on Software Engineering and Methodology","34","5","","10.1145/3712003","Association for Computing Machinery","Autonomous Agents; Large Language Models; Multi-Agent Systems; Software Engineering","Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This article explores the transformative potential of integrating Large Language Models into Multi-Agent (LMA) systems for addressing complex challenges in software engineering (SE). By leveraging the collaborative and specialized abilities of multiple agents, LMA systems enable autonomous problem-solving, improve robustness, and provide scalable solutions for managing the complexity of real-world software projects. In this article, we conduct a systematic review of recent primary studies to map the current landscape of LMA applications across various stages of the software development lifecycle (SDLC). To illustrate current capabilities and limitations, we perform two case studies to demonstrate the effectiveness of state-of-the-art LMA frameworks. Additionally, we identify critical research gaps and propose a comprehensive research agenda focused on enhancing individual agent capabilities and optimizing agent synergy. Our work outlines a forward-looking vision for developing fully autonomous, scalable, and trustworthy LMA systems, laying the foundation for the evolution of Software Engineering 2.0."
"P05","Journal Article","A Survey of AIOps in the Era of Large Language Models","Zhang, Lingzhe; Jia, Tong; Jia, Mengxi; Wu, Yifan; Liu, Aiwei; Yang, Yong; Wu, Zhonghai; Hu, Xuming; Yu, Philip; Li, Ying","2025","2025/9//","ACM Computing Surveys","58","2","","10.1145/3746635","Association for Computing Machinery","AIOps; Large language model; anomaly detection; assisted remediation; failure perception; incident report; logs; metrics; root cause analysis; time series","As large language models (LLMs) grow increasingly sophisticated and pervasive, their application to various Artificial Intelligence for IT Operations (AIOps) tasks has garnered significant attention. However, a comprehensive understanding of the impact, potential, and limitations of LLMs in AIOps remains in its infancy. To address this gap, we conducted a detailed survey of LLM4AIOps, focusing on how LLMs can optimize processes and improve outcomes in this domain. We analyzed 183 research articles published between January 2020 and December 2024 to answer four key research questions (RQs). In RQ1, we examine the diverse failure data sources utilized, including advanced LLM-based processing techniques for legacy data and the incorporation of new data sources enabled by LLMs. RQ2 explores the evolution of AIOps tasks, highlighting the emergence of novel tasks and the publication trends across these tasks. RQ3 investigates the various LLM-based methods applied to address AIOps challenges. Finally, RQ4 reviews evaluation methodologies tailored to assess LLM-integrated AIOps approaches. Based on our findings, we discuss the state-of-the-art advancements and trends, identify gaps in existing research, and propose promising directions for future exploration."
"P06","Journal Article","Agentic AI: A Comprehensive Survey of Technologies, Applications, and Societal Implications","Pati, Ashis Kumar","2025","","IEEE Access","13","","151824-151837","10.1109/ACCESS.2025.3585609","Institute of Electrical and Electronics Engineers Inc.","Agentic AI; autonomous agents; autonomous vehicles; multi-agent systems (MAS); reinforcement learning (RL)","Agentic AI brings a new level of advancement in artificial intelligence (AI), as it is capable of goal-directed behaviour, dynamic adaptation, and self-improvement. It influences various significant fields, such as robotics, healthcare, autonomous vehicles, and labor automation. This paper explores the defining features of agentic AI, highlights its differences from traditional AI, and discusses how autonomy, memory, goal-directed behavior, and adaptive reasoning contribute to increasingly general capabilities. Rather than proposing a new architecture, we offer a conceptual analysis of the trajectory from current agentic frameworks to future agentic AI systems. Examining applications in significant fields, including precision medicine, industrial robotics, and self-driving technologies, and discussing societal impacts, particularly concerning workforce disruption, augmentation, and ethical issues arising from agentic AI systems. The paper identifies key research directions for ensuring beneficial and controllable agentic AI development. This work serves as a primary source for exploring agentic AI by compiling existing research and identifying open questions."
"P07","Journal Article","Artificial empathy: A new perspective for analyzing and designing multi-agent systems","Chen, Jize; Zhang, Dali; Qu, Zhenshen; Wang, Changhong","2020","","IEEE Access","8","","183649-183664","10.1109/ACCESS.2020.3029502","Institute of Electrical and Electronics Engineers Inc.","Bandit algorithm; Cooperation and competition; Empathy; Multi-agent system","Learning from biological mechanisms is an essential method of devising interaction rules among agents. Inspired by neuropsychology, we introduce empathy, a vital ability of higher animals' affective systems, to assist us in analyzing and designing multi-agent systems. In this paper, we abstract the process of empathy as an optimization problem and establish a reasonable model of empathy by optimizing the corresponding free energy. Variable temperatures on the integrated utility associated with empathy provide agents with several different modes, including collectivity, equality, oligopoly, and monopoly. Therefore, we can change the agent's mode artificially according to the task requirement and examine agents' evolution from the perspective of continuous changes on temperature. Then we present a bandit algorithm called Empathy-based Interactive Learner (EIL), by which agents can enable affective utility evaluation and adaptive learning procedure in multi-agent systems.We test EIL's performance in four games, including the iterated prisoners' dilemma, the ultimatum game and its multi-player variant, and the survival game. The results showed that EIL could significantly improve cooperation, promote altruism behaviors, and stimulate the sense of fairness in the equal mode, whereas increasing the trend of self-interest gradually in the process of switching to other modes. To sum up, our model illustrates that empathy can act as a virtual drive underlying cooperation and competition. This provides novel methods and insights in regulating behaviors in multi-agent systems, as well as artificial subjects in psychology and behavioral economics experiments."
"P08","Journal Article","Applications, Challenges, and Future Directions of Human-in-the-Loop Learning","Kumar, Sushant; Datta, Sumit; Singh, Vishakha; Datta, Deepanwita; Kumar Singh, Sanjay; Sharma, Ritesh","2024","","IEEE Access","12","","75735-75760","10.1109/ACCESS.2024.3401547","Institute of Electrical and Electronics Engineers Inc.","Human-in-the-loop (HITL); accountability; machine learning algorithms; transparency","Machine learning (ML) has become a popular technique for various automation tasks in the era of Industry 4.0, such as the analysis and synthesis of visual data such as images and videos, natural language and speech, financial data, and biomedical applications. However, ML-based automation techniques are facing difficulties like decision-making, thus incorporating user expertise into the system might be advantageous. The goal of adding human domain expertise with ML-based automation is to provide more accurate prediction models. Human-in-the-loop (HITL) systems that integrate human expertise with ML algorithms are becoming more and more common in various industries. However, there are a number of methodological, technical, and ethical difficulties with the development and application of HITL systems. This paper aims to explore the methodologies, challenges, and opportunities associated with HITL systems implementations. We also discuss a number of issues that must be resolved for HITL systems to be effective, including data quality, bias, and user engagement. Besides, we also explored several approaches that can be utilized to enhance the performance of HITL systems, such as active learning (AL), iterative ML, and reinforcement learning, as well as the current state of the art in HITL systems. We also selectively highlighted the advantages of HITL systems, such as their potential to increase decision-making process accountability and transparency by utilizing human experience to improve ML decision-making capability. The paper will be very useful for researchers, practitioners, and policymakers."
"P09","Journal Article","AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges","Sapkota, Ranjan; Roumeliotis, Konstantinos I.; Karkee, Manoj","2026","2026/2//","Information Fusion","126","","","10.1016/j.inffus.2025.103599","Elsevier B.V.","AI agents; Agentic AI; Conceptual taxonomy; Context awareness; Multi-agent systems","Information fusion, in the context of the Generative AI era, must distinguish AI Agents from Agentic AI. This review critically distinguishes between AI Agents and Agentic AI, offering a structured, conceptual taxonomy, application mapping, and analysis of opportunities and challenges to clarify their divergent design philosophies and capabilities. We begin by outlining the search strategy and foundational definitions, characterizing AI Agents as modular systems driven and enabled by LLMs and LIMs for task-specific automation. Generative AI is positioned as a precursor providing the foundation, with AI agents advancing through tool integration, prompt engineering, and reasoning enhancements. We then characterize Agentic AI systems, which, in contrast to AI Agents, represent a paradigm shift marked by multi-agent collaboration, dynamic task decomposition, persistent memory, and coordinated autonomy. Through a chronological evaluation of architectural evolution, operational mechanisms, interaction styles, and autonomy levels, we present a comparative analysis across both AI agents and agentic AI paradigms. Application domains enabled by AI Agents such as customer support, scheduling, and data summarization are then contrasted with Agentic AI deployments in research automation, robotic coordination, and medical decision support. We further examine unique challenges in each paradigm including hallucination, brittleness, emergent behavior, and coordination failure, and propose targeted solutions such as ReAct loops, retrieval-augmented generation (RAG), automation coordination layers, and causal modeling. This work aims to provide a roadmap for developing robust, scalable, and explainable AI-driven systems."
"P10","Journal Article","Agentic AI: Autonomous Intelligence for Complex Goals - A Comprehensive Survey","Acharya, Deepak Bhaskar; Kuppan, Karthigeyan; Divya, B.","2025","","IEEE Access","13","","18912-18936","10.1109/ACCESS.2025.3532853","Institute of Electrical and Electronics Engineers Inc.","Agentic AI; adaptability; autonomous systems; ethical AI; governance frameworks; human-AI collaboration","Agentic AI, an emerging paradigm in artificial intelligence, refers to autonomous systems designed to pursue complex goals with minimal human intervention. Unlike traditional AI, which depends on structured instructions and close oversight, Agentic AI demonstrates adaptability, advanced decision-making capabilities and self-sufficiency, enabling it to operate dynamically in evolving environments. This survey thoroughly explores the foundational concepts, unique characteristics, and core methodologies driving the development of Agentic AI. We examine its current and potential applications across various fields, including healthcare, finance, and adaptive software systems, emphasizing the advantages of deploying agentic systems in real-world scenarios. The paper also addresses the ethical challenges posed by Agentic AI, proposing solutions for goal alignment, resource constraints, and environmental adaptability. We outline a framework for safely and effectively integrating Agentic AI into society, highlighting the need for further research on ethical considerations to ensure beneficial societal impacts. This survey serves as a comprehensive introduction to Agentic AI, guiding researchers, developers, and policymakers in engaging with its transformative potential responsibly and creatively."
