ID,Título,Venue,DOI,Year,ISSN / e-ISSN,Scopus (Percentil),"Qualis (2025-2028, derivado do percentil)",SJR Quartile,Citações OpenAlex,Citações Crossref,Citações Scopus,Citações (verificado em),Cluster (índice),Tipo (índice),Elegibilidade (Etapa 1)
P41,Deep Learning for Time Series Anomaly Detection: A Survey,ACM Computing Surveys,10.1145/3691338,2024,0360-0300,99.0%,A1,Q1,525,536,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P42,Task Failure Prediction in Cloud Data Centers Using Deep Learning,IEEE Transactions on Services Computing,10.1109/tsc.2020.2993728,2020,1939-1374,93.0%,A1,Q1,219,214,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),unscreened(rule-classified),ELEGÍVEL
P43,A Practical Approach to Defining a Framework for Developing an Agentic AIOps System,Electronics,10.3390/electronics14091775,2025,2079-9292,83.0%,A2,Q2,27,28,PENDENTE (sem chave de API na sessão),2026-09-09,LLM / agentic ops,systems/empirical,ELEGÍVEL
P44,Edge-IIoTset: A New Comprehensive Realistic Cyber Security Dataset of IoT and IIoT Applications for Centralized and Federated Learning,IEEE Access,10.1109/access.2022.3165809,2022,2169-3536,91.0%,A1,Q1,1090,1083,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P45,"Deep Learning for Anomaly Detection in Time-Series Data: Review, Analysis, and Guidelines",IEEE Access,10.1109/access.2021.3107975,2021,2169-3536,91.0%,A1,Q1,582,548,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P46,Benchmarking of Machine Learning for Anomaly Based Intrusion Detection Systems in the CICIDS2017 Dataset,IEEE Access,10.1109/access.2021.3056614,2021,2169-3536,91.0%,A1,Q1,464,429,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,systems/empirical,ELEGÍVEL
P47,Anomaly-Based Intrusion Detection From Network Flow Features Using Variational Autoencoder,IEEE Access,10.1109/access.2020.3001350,2020,2169-3536,91.0%,A1,Q1,324,303,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P48,An Unsupervised Deep Learning Model for Early Network Traffic Anomaly Detection,IEEE Access,10.1109/access.2020.2973023,2020,2169-3536,91.0%,A1,Q1,281,264,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P49,Design and Development of RNN Anomaly Detection Model for IoT Networks,IEEE Access,10.1109/access.2022.3176317,2022,2169-3536,91.0%,A1,Q1,266,260,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P50,A Survey on Observability of Distributed Edge & Container-Based Microservices,IEEE Access,10.1109/access.2022.3193102,2022,2169-3536,91.0%,A1,Q1,118,121,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P51,Cloud Network Anomaly Detection Using Machine and Deep Learning Techniques— Recent Research Advancements,IEEE Access,10.1109/access.2024.3390844,2024,2169-3536,91.0%,A1,Q1,80,81,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P52,Application of Large Language Models in Cybersecurity: A Systematic Literature Review,IEEE Access,10.1109/access.2024.3505983,2024,2169-3536,91.0%,A1,Q1,83,85,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,survey/position,ELEGÍVEL
P53,Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks,IEEE Access,10.1109/access.2025.3565220,2025,2169-3536,91.0%,A1,Q1,12,14,PENDENTE (sem chave de API na sessão),2026-09-09,LLM / agentic ops,systems/empirical,ELEGÍVEL
P54,From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review,IEEE Access,10.1109/access.2026.3698694,2026,2169-3536,91.0%,A1,Q1,7,28,PENDENTE (sem chave de API na sessão),2026-09-09,Agent foundations,survey/position,ELEGÍVEL
P55,Telemetry and Agentic AI: Foundations for Optical Network Automation,IEEE Access,10.1109/access.2025.3649768,2025,2169-3536,91.0%,A1,Q1,3,3,PENDENTE (sem chave de API na sessão),2026-09-09,Agent foundations,unscreened(rule-classified),ELEGÍVEL
P56,Variational LSTM Enhanced Anomaly Detection for Industrial Big Data,IEEE Transactions on Industrial Informatics,10.1109/tii.2020.3022432,2020,1551-3203,98.0%,A1,Q1,405,365,PENDENTE (sem chave de API na sessão),2026-09-09,Automated remediation,unscreened(rule-classified),ELEGÍVEL
P57,"Artificial Intelligence for Predictive Maintenance Applications: Key Components, Trustworthiness, and Future Trends",Applied Sciences,10.3390/app14020898,2024,2076-3417,82.0%,A2,Q2,410,411,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P58,Deep Industrial Image Anomaly Detection: A Survey,Machine Intelligence Research,10.1007/s11633-023-1459-z,2024,2731-538X,99.0%,A1,Q1,399,412,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P59,Anomaly detection with density estimation,Physical review D,10.1103/physrevd.101.075042,2020,2470-0010,93.0%,A1,Q1,316,207,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P60,From Corrective to Predictive Maintenance—A Review of Maintenance Approaches for the Power Industry,Sensors,10.3390/s23135970,2023,1424-8220,91.0%,A1,Q1,272,267,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P61,From knowledge-based to big data analytic model: a novel IoT and machine learning based decision support system for predictive maintenance in Industry 4.0,Journal of Intelligent Manufacturing,10.1007/s10845-022-01960-x,2022,0956-5515,96.0%,A1,Q1,253,241,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P62,"A Neuroergonomics Approach to Mental Workload, Engagement and Human Performance",Frontiers in Neuroscience,10.3389/fnins.2020.00268,2020,1662-453X,74.0%,A3,Q2,248,217,PENDENTE (sem chave de API na sessão),2026-09-09,Human factors,survey/position,INELEGÍVEL (Qualis A3 fora de A1–A2)
P63,The Chatbot Usability Scale: the Design and Pilot of a Usability Scale for Interaction with AI-Based Conversational Agents,Personal and Ubiquitous Computing,10.1007/s00779-021-01582-9,2021,1617-4909,92.0%,A1,Q2,240,228,PENDENTE (sem chave de API na sessão),2026-09-09,Benchmarks & evaluation,unscreened(rule-classified),ELEGÍVEL
P64,A Review of Machine Learning and Deep Learning Techniques for Anomaly Detection in IoT Data,Applied Sciences,10.3390/app11125320,2021,2076-3417,82.0%,A2,Q2,204,179,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P65,Deep learning for anomaly detection in log data: A survey,Machine Learning with Applications,10.1016/j.mlwa.2023.100470,2023,2666-8270,93.0%,A1,Q1,200,168,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),survey/position,ELEGÍVEL
P66,Zero Touch Management: A Survey of Network Automation Solutions for 5G and 6G Networks,IEEE Communications Surveys and Tutorials,10.1109/comst.2022.3212586,2022,1553-877X,99.0%,A1,Q1,178,169,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,unscreened(rule-classified),ELEGÍVEL
P67,EADN: An Efficient Deep Learning Model for Anomaly Detection in Videos,Mathematics,10.3390/math10091555,2022,2227-7390,92.0%,A1,Q2,146,146,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P68,A big data-driven root cause analysis system: Application of Machine Learning in quality problem solving,Computers and Industrial Engineering,10.1016/j.cie.2021.107580,2021,0360-8352,96.0%,A1,Q1,88,79,PENDENTE (sem chave de API na sessão),2026-09-09,Root-cause analysis,systems/empirical,ELEGÍVEL
P69,WAUC: A Multi-Modal Database for Mental Workload Assessment Under Physical Activity,Frontiers in Neuroscience,10.3389/fnins.2020.549524,2020,1662-453X,74.0%,A3,Q2,71,64,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),unscreened(rule-classified),INELEGÍVEL (Qualis A3 fora de A1–A2)
P70,Anomaly Detection in Operating System Logs with Deep Learning-Based Sentiment Analysis,IEEE Transactions on Dependable and Secure Computing,10.1109/tdsc.2020.3037903,2020,1545-5971,93.0%,A1,Q1,68,67,PENDENTE (sem chave de API na sessão),2026-09-09,Detection (classical ML),systems/empirical,ELEGÍVEL
P71,The Challenges of Leveraging Threat Intelligence to Stop Data Breaches,Frontiers in Computer Science,10.3389/fcomp.2020.00036,2020,2624-9898,75.0%,A2,Q2,63,37,PENDENTE (sem chave de API na sessão),2026-09-09,Automated remediation,unscreened(rule-classified),ELEGÍVEL
P72,From Vulnerability to Defense: The Role of Large Language Models in Enhancing Cybersecurity,Computation,10.3390/computation13020030,2025,2079-3197,85.0%,A2,Q2,64,67,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,survey/position,ELEGÍVEL
P73,Breaking Alert Fatigue: AI-Assisted SIEM Framework for Effective Incident Response,Applied Sciences,10.3390/app13116610,2023,2076-3417,82.0%,A2,Q2,54,51,PENDENTE (sem chave de API na sessão),2026-09-09,Alert triage & correlation,systems/empirical,ELEGÍVEL
P74,Transitioning from MLOps to LLMOps: Navigating the Unique Challenges of Large Language Models,Information,10.3390/info16020087,2025,2078-2489,79.0%,A2,Q2,58,58,PENDENTE (sem chave de API na sessão),2026-09-09,LLM / agentic ops,unscreened(rule-classified),ELEGÍVEL
P75,Enhancing Cloud Security—Proactive Threat Monitoring and Detection Using a SIEM-Based Approach,Applied Sciences,10.3390/app132212359,2023,2076-3417,82.0%,A2,Q2,32,26,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,systems/empirical,ELEGÍVEL
P76,Toward Robust Security Orchestration and Automated Response in Security Operations Centers with a Hyper-Automation Approach Using Agentic Artificial Intelligence,Information,10.3390/info16050365,2025,2078-2489,79.0%,A2,Q2,36,40,PENDENTE (sem chave de API na sessão),2026-09-09,Automated remediation,unscreened(rule-classified),ELEGÍVEL
P77,Generative AI revolution in cybersecurity: a comprehensive review of threat intelligence and operations,Artificial Intelligence Review,10.1007/s10462-025-11219-5,2025,0269-2821,99.0%,A1,Q1,34,37,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,survey/position,ELEGÍVEL
P78,Advancing Cyber Incident Timeline Analysis Through Retrieval-Augmented Generation and Large Language Models,Computers,10.3390/computers14020067,2025,2073-431X,86.0%,A2,Q1,27,28,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,systems/empirical,ELEGÍVEL
P79,AI-Augmented SOC: A Survey of LLMs and Agents for Security Automation,Journal of Cybersecurity and Privacy,10.3390/jcp5040095,2025,2624-800X,85.0%,A2,Q1,29,34,PENDENTE (sem chave de API na sessão),2026-09-09,Security IR / SOC,survey/position,ELEGÍVEL
