"ID","Population_Claude","Population_ChatGPT","Population_Gemini","Intervention_Claude","Intervention_ChatGPT","Intervention_Gemini","Comparison_Claude","Comparison_ChatGPT","Comparison_Gemini","Outcomes_Claude","Outcomes_ChatGPT","Outcomes_Gemini","Context_Claude","Context_ChatGPT","Context_Gemini"
"P01","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P02","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P03","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P04","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P05","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P06","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P07","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P08","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P09","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P10","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P11","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P12","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P13","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P14","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P15","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P16","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P17","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P18","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P19","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P20","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P21","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P22","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P23","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P24","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","NA","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P25","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P26","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","NA","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P27","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P28","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P29","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P30","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P31","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P32","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P33","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P34","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P35","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P37","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P38","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P39","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
"P40","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","NA","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED","DECLARED"
