doi_origem,doi_referencia,titulo_referencia,ano_referencia,fontes,n_fontes
10.12688/f1000research.169927.1,10.5465/amr.2022.0041,"Artificial Intelligence, Trust, and Perceptions of Agency.",Mar. 2024,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.30574/wjarr.2024.24.3.3883,Zero trust and AI: A synergistic approach to next-generation cyber threat mitigation.,Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s13347-024-00760-w,No Agent in the Machine: Being Trustworthy and Responsible about AI.,Jun. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s43681-022-00241-w,"Making sense of the conceptual nonsense ‘trustworthy AI,’.",Nov. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1038/s41598-024-71761-0,"Trust, trustworthiness and AI governance.",Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.52783/jisem.v10i43s.8308,AI Governance via Explainable Reinforcement Learning (XRL) for Adaptive Cyber Deception in Zero-Trust Networks.,May 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.63125/sdz8km60,NATIONAL RESILIENCE THROUGH AI-DRIVEN DATA ANALYTICS AND CYBERSECURITY FOR REAL-TIME CRISIS RESPONSE AND INFRASTRUCTURE PROTECTION.,Mar. 2022,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.36948/ijfmr.2024.v06i02.14064,Integrating Artificial Intelligence (AI) in Teaching and Learning.,Mar. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.71265/pztsvw73,Trustworthy AI.,Oct. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s00146-024-02082-z,Towards trustworthy medical AI ecosystems - a proposal for supporting responsible innovation practices in AI-based medical innovation.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s13347-024-00820-1,Can We Trust Artificial Intelligence?,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.3126/nprcjmr.v1i4.70951,An Overview of AI Applications in Cybersecurity for IT Management.,Oct. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1007/s00417-023-06245-4,"Behind the mask: a critical perspective on the ethical, moral, and legal implications of AI in ophthalmology.",Mar. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.46287/fhev4889,Application of AI on Human Resource Management: A Review.,Aug. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30560/les.v1n1p156,"Strategic Integration of Generative AI: Opportunities, Challenges, and Organizational Impacts.",May 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1186/s41073-016-0019-2,Improving the peer review of narrative literature reviews.,Dec. 2016,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3722237.3722268,Agent4EDU: Advancing AI for Education with Agentic Workflows,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.69554/xehz1946,Agentic AI: The building blocks of sophisticated AI business applications.,Sep. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.3390/info14080441,Modeling Theory of Mind in Dyadic Games Using Adaptive Feedback Control.,Aug. 2023,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.36948/ijfmr.2025.v07i02.42035,S-AI: A Sparse Artificial Intelligence System Orchestrated by a Hormonal MetaAgent and Context-Aware Specialized Agents.,Apr. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.32996/jcsts.2025.7.1.28,Enterprise API & Platform Strategy in the era of Agentic AI.,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/wjaets.2025.14.2.0071,"Advancing innovation in financial stability: A comprehensive review of ai agent frameworks, challenges and applications.",Feb. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3371238.3371244,A Blockchain based Smart Agent System Architecture,Oct. 2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3672200.3673878,Robust Zero Trust Architecture: Joint Blockchain based Federated learning and Anomaly Detection based Framework,Aug. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.55041/ijsrem37791,Federated Learning in Healthcare: A Path Towards Decentralized and Secure Medical Insights.,Oct. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.30574/ijsra.2025.14.3.0633,"Decentralized AI at the Edge: Federated Learning, Quantum Optimization and IoT Scalability.",Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.48185/smhs.v2i1.1447,A Hybrid Framework for Securing 5G-Enabled Healthcare Systems.,Jan. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.3390/fi17020057,AI Agents Meet Blockchain: A Survey on Secure and Scalable Collaboration for Multi-Agents.,Feb. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.2478/slgr-2024-0029,"Chinese Chat Room: AI Hallucinations, Epistemology and Cognition.",Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/ijcnn52387.2021.9533910,Speeding Up Reinforcement Learning by Exploiting Causality in Reward Sequences,Jul. 2021,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1145/3643137,RAMPART: Reinforcing Autonomous Multi-Agent Protection through Adversarial Resistance in Transportation.,Dec. 2024,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/southeastcon42311.2019.9020557,Informal IT and Routine Activity Theory -A Theoretical Review,Apr. 2019,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.3390/bdcc9030062,Trustworthy AI for Whom? GenAI Detection Techniques of Trust Through Decentralized Web3 Ecosystems.,Mar. 2025,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/mts.2021.3123741,Trust and Soft Law for AI.,Dec. 2021,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1145/3365675,Introduction to the Special Section on Trust and AI.,Nov. 2019,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1109/coins51742.2021.9524157,CLASA : a Cross-Layer Agent Security Architecture for networked embedded systems,Aug. 2021,crossref;openalex;opencitations,3
10.12688/f1000research.169927.1,10.1145/2020976.2020984,Layered security architecture for threat management using multi-agent system.,Sep. 2011,crossref;openalex;opencitations;s2,4
10.12688/f1000research.169927.1,10.1016/j.ins.2024.120216,Bayesian and stochastic game joint approach for Cross-Layer optimal defensive Decision-Making in industrial Cyber-Physical systems.,Mar. 2024,crossref;openalex;opencitations;s2,4
