"Campo","Extração"
"Título","Agent System Mining: Vision, Benefits, and Challenges"
"Autores","Andrei Tour; Artem Polyvyanyy; Anna Kalenkova"
"Ano e Veículo","2021; IEEE Access, vol. 9 (recebido em 16 de junho de 2021; publicado em 8 de julho de 2021)"
"Problema Central Abordado","As técnicas de Process Mining fazem suposições simplificadoras sobre processos de negócio, e relaxar essas suposições produz modelos de processo mais realistas que são ""often difficult to visualize and, consequently, to understand"" — o problema dos ""spaghetti process models""; o projeto e a atualização manuais de modelos de processo também demandam tempo e esforço significativos (Sec. I, pp. 99480-99481)."
"Solução Proposta / Papel da Agentic AI","Propõe o Agent System Mining (ASM), que combina Process Mining com Agent-Based Modeling (ABM) para inferir automaticamente modelos de Multi-Agent System (MAS) de processos de negócio operacionais a partir de dados de eventos do mundo real; o comportamento do processo em nível macro emerge de baixo para cima a partir das interações autônomas dos agentes em nível micro, em vez de um fluxo de controle centralizado; o ASM Framework mapeia atividades para um ciclo de vida de modelagem de MAS em V-model com cinco fases (Motivate, Plan, Develop, Evaluate, Use) e sete atividades de ASM (search, project, discover, enhance, integrate, diagnose, check); as Fases 1 e 5 são manuais (modeladores humanos/partes interessadas de BPM), enquanto os algoritmos de ASM automatizam parcial ou totalmente as Fases 2-4; não há envolvimento de LLMs nem de design de copilot (Sec. IV, Figs. 6-7, pp. 99485-99488)."
"Metodologia","Artigo de visão/posicionamento conceitual: (1) um exemplo motivador de um processo varejista de ""order fulfillment"" usando dados GIS do ""Supply Chain GIS Model"" do AnyLogic, com modelos DFM descobertos pela ferramenta Disco e uma simulação de MAS no AnyLogic (Sec. II, pp. 99481-99483); (2) uma revisão estruturada da literatura seguindo vom Brocke et al. e a taxonomia de Cooper: consultas no Scopus e na Web of Science (executadas em 16 de fevereiro de 2021, publicações >= 2010) retornaram 2,094 publicações mescladas, filtradas para 149 artigos relevantes analisados frente a 3 questões de pesquisa (Sec. V, pp. 99490-99491); nenhuma avaliação empírica, implantação de protótipo ou experimento controlado é reportado."
"Impacto nas Métricas de MTTD e MTTR","Não aplicável — o artigo não reporta métricas de resposta a incidentes (MTTD, MTTR, fadiga de alertas ou tempo de resolução); a afirmação qualitativa mais próxima é que a automação produz ""shorter model development cycles"", de modo que ""organizations can react faster and take timely actions to resolve arising issues"" (Sec. IV-C, pp. 99488-99489)."
"Impacto Geral em Agentic AI / Sistemas Multiagente","Argumenta que modelos de MAS mitigam os ""spaghetti process models"" porque a complexidade do comportamento do MAS pode crescer ao longo do tempo ""while the size and complexity of the model stay unchanged""; benefícios diretos: modelagem baseada em evidências, ciclos de desenvolvimento de modelos mais curtos, melhor conformidade; benefícios indiretos: gestão de processos complexos, flexíveis e sensíveis ao contexto; identifica 8 desafios: seleção de metamodelo de MAS, definição de escopo do modelo, suporte a simulação/análise estática, validação de modelos, seleção de dados de eventos, descoberta de tipos de agentes, descoberta de submodelos e seleção de linguagem de modelagem; a revisão conclui que os trabalhos existentes ""do not allow, neither individually nor collectively, implementing the ASM framework"" (Sec. IV-C, IV-D, Sec. V-C2, pp. 99488-99492)."
"Limitações / Trabalhos Futuros","A proposta é uma visão sem algoritmos de ASM implementados nem validação empírica; a pesquisa futura organiza-se em três áreas: metamodelos/formalismos para representar modelos de MAS descobertos a partir de dados de processos de negócio, algoritmos de ASM para descobrir e aprimorar modelos de MAS executáveis e técnicas para avaliar a qualidade dos modelos de MAS descobertos; é necessária uma análise adicional dos benefícios do ASM em diferentes domínios de aplicação e setores da indústria para validar o ASM Framework (Sec. VI, p. 99492)."
"Relevância para Minha Dissertação","Este artigo está fundamentado em BPM/Process Mining, não em operações de TI ou resposta a incidentes, e antecede os copilots agênticos baseados em LLM. Seu valor para a dissertação é conceitual: formaliza como modelos multiagente podem ser descobertos a partir de logs de eventos e como comportamentos de agentes em nível micro produzem comportamento sistêmico emergente em nível macro, um enquadramento que se assemelha à mineração de linhas do tempo de incidentes e de dados de eventos de observabilidade para modelar agentes de plantão/automação. Seu framework de ciclo de vida (discover, enhance, integrate, diagnose, check) e seus desafios (descoberta de tipos de agentes, seleção de dados de eventos, validação de modelos) oferecem vocabulário transferível para projetar e validar um pipeline de AIOps agêntico. Contudo, não contribui com métricas de incidentes, técnicas de LLM nem arquitetura de copilot, de modo que serve apenas como contexto sobre os fundamentos de modelagem de MAS."
"Pontuação de Relevância","Baixa — um artigo conceitual de visão em BPM/process mining sem conteúdo de AIOps, LLM ou MTTD/MTTR; relevante apenas tangencialmente por seu framework de modelagem multiagente."
"ID do Artigo","P19"
