"Field","Extraction"
"Title","A Practical Approach to Defining a Framework for Developing an Agentic AIOps System"
"Authors","Răzvan Daniel Zota; Corneliu Bărbulescu; Radu Constantinescu"
"Year & Venue","2025; Electronics (MDPI journal), vol. 14, article 1775"
"Core Problem Addressed","Conventional AIOps systems are limited to observability and predefined rules with reactive responses, lacking autonomy to proactively detect and resolve incidents without human input; critical tasks such as incident resolution and problem management still require significant human intervention, and there is no canonical definition of Agentic AIOps (Sec. 1, pp. 1-3)."
"Proposed Solution / Agentic AI Role","A three-dimensional development framework for an Agentic AIOps system: (1) process model dimension aligned with ITIL via IBM's UPF-IT/PRM-IT (Event Management, Service Execution, Request Fulfillment, Incident Management, Problem Management); (2) service element dimension (applications, platform/middleware, infrastructure); (3) capability dimension following the Understand-Decide-Take Action paradigm; an Orchestrator component controls flow across components: discriminative AI for incident classification, RAG for diagnosis, automation components (e.g., Jenkins pipeline, Ansible playbook) for resolution, and an AI-LLM component for closure communication; autonomy is deployed progressively across ten levels with human oversight at critical decision points (Sec. 4.1-4.3, pp. 11-16; Sec. 3.1, p. 9)."
"Methodology","Conceptual framework proposal (vision paper) grounded in: a systematic literature review of academic articles, industry reports and white papers from the last five years (140+ articles filtered to 42 high-impact studies); the authors' own IT industry experience (IBM UPF-IT, Watson AIOps, Splunk); and focus group discussions plus semi-structured interviews with IT professionals, AI researchers, and AIOps practitioners; no prototype, deployment, or experimental evaluation (Sec. 2.1-2.4, pp. 4-5)."
"Impact on MTTD & MTTR Metrics","Not specified quantitatively — no baselines or measured values reported; qualitative claims only: the authors state such a system ""can significantly reduce incident response time"" and enable self-healing IT environments, and Table 2 lists ""Reduce Mean Time to Resolution (MTTR)"" as the end goal of AIOps (Abstract, p. 1; Table 2, p. 7)."
"General Impact on Agentic AI / Multi-Agent Systems","No empirical efficacy results; the framework contributes design principles for reliable autonomy: progressive autonomy over ten defined levels matched to risk tolerance, process standardization via ITIL/UPF-IT, service-aware design across layers, continuous learning feedback loops, and human oversight for high-risk actions; an orchestrator manages end-to-end control flow across specialized AI/automation components; the paper also proposes a definition of Agentic AIOps as agents operating at different levels of autonomy (Sec. 4.3, pp. 14-16; Sec. 4, p. 11; Sec. 3.1, p. 9)."
"Limitations / Future Work","Authors acknowledge ""currently we do not have experimental results that materialize the presented view"" (vision of the future of Agentic AIOps) and that security concerns are out of scope; future work: defining system capabilities per ITIL Operations process, specifying components per technology (infrastructure, middleware, application), and proposing a conceptual architecture; ethical/governance considerations (accountability, transparency, oversight, KPI monitoring) are flagged as needing attention (Sec. 5, pp. 16-17)."
"Relevance to My Thesis","This paper provides a structured conceptual foundation for positioning an Agentic AI copilot within incident response: its Understand-Decide-Take Action paradigm and the incident management mapping (classification, RAG-based diagnosis, automated resolution, LLM-based closure) mirror the pipeline a copilot would support to reduce MTTD and MTTR. The ten-level autonomy scale and progressive-autonomy principle offer a vocabulary for characterizing the copilot (human-in-the-loop) versus fully autonomous operation. Its alignment with ITIL/UPF-IT grounds the thesis in service management practice. However, it offers no empirical MTTD/MTTR evidence, so it serves as a framing and architecture reference rather than a source of quantitative benchmarks."
"Relevance Score","Medium — directly proposes an agentic AIOps framework for autonomous incident detection, diagnosis, and resolution, but it is purely conceptual and reports no MTTD/MTTR measurements."
"Paper ID","P43"
